actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
188.84799194335938,0.0
205.9004364013672,0.0
219.5424041748047,0.0
236.59483337402344,0.0
250.2367401123047,0.0
263.87872314453125,0.0
277.5206298828125,0.0
291.16259765625,0.0
301.39404296875,0.0
304.80450439453125,0.0
304.80450439453125,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.9156935811042786
301.39404296875,4.836301326751709
297.9835205078125,8.561352729797363
297.9835205078125,12.143133163452148
294.57305908203125,15.542389869689941
287.7520751953125,18.72138023376465
284.34161376953125,21.733339309692383
274.11016845703125,24.49516487121582
263.87872314453125,27.016477584838867
0.0,29.30652618408203
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
193.2340545654297,0.0
237.5703582763672,0.0
268.26470947265625,0.0
295.54864501953125,0.0
322.83245849609375,0.0
346.70587158203125,0.0
370.5793151855469,0.0
394.4527282714844,0.0
404.6841735839844,0.0
408.0946960449219,1.0684176683425903
418.3261413574219,6.51789665222168
435.3785095214844,11.98159408569336
438.7890319824219,17.2799129486084
442.1995544433594,22.419214248657227
452.4309997558594,27.49513816833496
459.2519226074219,32.465362548828125
469.4833679199219,37.37870788574219
472.8938903808594,42.14784622192383
469.4833679199219,46.68878936767578
466.0728454589844,51.010318756103516
0.0,55.07611083984375
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
206.4216766357422,0.0
230.29510498046875,0.0
254.16851806640625,0.0
271.22088623046875,0.0
291.68377685546875,0.0
308.73626708984375,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,15.911892890930176
0.0,17.224702835083008
0.0,18.442256927490234
0.0,19.61298179626465
0.0,20.7834415435791
0.0,21.908884048461914
0.0,22.99104118347168
0.0,24.03157615661621
0.0,25.121618270874023
0.0,26.08020782470703
0.0,26.912405014038086
0.0,27.757354736328125
0.0,28.569807052612305
0.0,29.351011276245117
0.0,30.1021671295166
0.0,30.779674530029297
0.0,31.38636016845703
0.0,31.92494773864746
0.0,32.44282150268555
0.0,32.89601135253906
0.0,33.33177185058594
0.0,33.70600891113281
0.0,34.021087646484375
0.0,34.32405090332031
0.0,34.615360260009766
0.0,34.94022750854492
0.0,35.252601623535156
0.0,35.55295944213867
0.0,35.79700469970703
0.0,36.07642364501953
0.0,36.345096588134766
0.0,36.60343933105469
0.0,36.85184097290039
0.0,37.09069061279297
0.0,37.32035446166992
0.0,37.496421813964844
0.0,37.66571807861328
0.0,37.82849884033203
0.0,37.94026184082031
0.0,38.047725677490234
0.0,38.19581604003906
0.0,38.293453216552734
0.0,38.342567443847656
0.0,38.34503173828125
0.0,38.25787353515625
0.0,38.08454132080078
0.0,37.87311553955078
0.0,37.669822692871094
0.0,37.42958450317383
0.0,37.198585510253906
0.0,36.931705474853516
0.0,36.63032913208008
0.0,36.340545654296875
0.0,36.151432037353516
0.0,35.88006591796875
0.0,35.574371337890625
0.0,35.23567581176758
0.0,34.95476531982422
0.0,34.59513854980469
0.0,34.24934387207031
0.0,33.916847229003906
0.0,33.55237579345703
0.0,33.15715789794922
0.0,32.82190704345703
0.0,32.499549865722656
0.0,32.18959045410156
0.0,31.802024841308594
0.0,31.429365158081055
0.0,30.98151206970215
0.0,30.50612449645996
0.0,30.00425910949707
0.0,29.476930618286133
0.0,28.969884872436523
0.0,28.48233985900879
0.0,27.96878433227539
0.0,27.43021583557129
0.0,26.912363052368164
0.0,26.36966323852539
0.0,25.75831413269043
0.0,25.125713348388672
0.0,24.517444610595703
0.0,24.0220947265625
0.0,23.590559005737305
0.0,23.130857467651367
0.0,22.6888370513916
0.0,22.263816833496094
0.0,21.855144500732422
0.0,21.506954193115234
0.0,21.17215347290039
0.0,20.80546760559082
0.0,20.408126831054688
0.0,20.026065826416016
0.0,19.56917381286621
0.0,19.040327072143555
0.0,18.53182029724121
0.0,18.087636947631836
0.0,17.705299377441406
0.0,17.33766746520996
0.0,17.02893829345703
0.0,16.82160758972168
0.0,16.622249603271484
0.0,16.385801315307617
0.0,16.158445358276367
0.0,15.895071983337402
0.0,15.597064018249512
0.0,15.310517311096191
0.0,15.079755783081055
0.0,14.678815841674805
0.0,14.15900993347168
0.0,13.52490520477295
0.0,12.825666427612305
0.0,12.10855770111084
0.0,11.463793754577637
0.0,10.933351516723633
0.0,10.423310279846191
0.0,9.798600196838379
0.0,9.108389854431152
0.0,8.399962425231934
0.0,7.718782424926758
0.0,7.019038200378418
0.0,6.30144739151001
0.0,5.566692352294922
0.0,4.949720859527588
0.0,4.356478691101074
0.0,3.7412941455841064
0.0,3.1945300102233887
0.0,2.7135589122772217
0.0,2.251086711883545
0.0,1.8511654138565063
0.0,1.5113892555236816
0.0,1.2742085456848145
0.0,1.1356734037399292
0.0,1.0472301244735718
0.0,1.0069520473480225
0.0,1.0577502250671387
0.0,1.196117877960205
0.0,1.3739272356033325
0.0,1.6344249248504639
0.0,2.0191903114318848
0.0,2.4786839485168457
0.0,2.965268611907959
0.0,3.4779016971588135
0.0,4.015582084655762
0.0,4.577345848083496
0.0,5.207026481628418
0.0,5.946779251098633
0.0,6.7923665046691895
0.0,7.73972225189209
0.0,8.784928321838379
0.0,9.834696769714355
0.0,10.888854026794434
0.0,11.99199390411377
0.0,13.052704811096191
0.0,14.162142753601074
0.0,15.273673057556152
0.0,16.43198013305664
0.0,17.635263442993164
0.0,18.881790161132812
0.0,20.12513542175293
0.0,21.320661544799805
0.0,22.514968872070312
0.0,23.663341522216797
0.0,24.767545700073242
0.0,25.784517288208008
0.0,26.762374877929688
0.0,27.65785789489746
0.0,28.51889991760254
0.0,29.346826553344727
0.0,30.142908096313477
0.0,30.953134536743164
0.0,31.73219871520996
0.0,32.52606201171875
0.0,33.28939437866211
0.0,33.978599548339844
0.0,34.686065673828125
0.0,35.41108322143555
0.0,36.10821533203125
0.0,36.86806106567383
0.0,37.59868240356445
0.0,38.34596252441406
0.0,39.06449890136719
0.0,39.71064376831055
0.0,40.28717041015625
0.0,40.79676055908203
0.0,41.33151626586914
0.0,41.845699310302734
0.0,42.340110778808594
0.0,42.905029296875
0.0,43.49298095703125
0.0,43.96879959106445
0.0,44.336788177490234
0.0,44.69062423706055
0.0,44.986083984375
0.0,45.22542190551758
0.0,45.41078567504883
0.0,45.6337890625
0.0,45.84821319580078
0.0,46.00962448120117
0.0,46.0753059387207
0.0,46.13846206665039
0.0,46.15442657470703
0.0,46.08024597167969
0.0,45.8746337890625
0.0,45.63216781616211
0.0,45.35426330566406
0.0,44.99751663208008
0.0,44.6097297668457
0.0,44.28162384033203
0.0,43.92137145996094
0.0,43.574974060058594
0.0,43.197139739990234
0.0,42.83383560180664
0.0,42.529266357421875
0.0,42.236412048339844
0.0,41.910057067871094
0.0,41.50673294067383
0.0,40.9846305847168
0.0,40.39308547973633
0.0,39.734764099121094
0.0,38.92271423339844
0.0,38.007606506347656
0.0,36.94864273071289
0.0,35.796119689941406
0.0,34.55363464355469
0.0,33.17988586425781
0.0,31.769445419311523
0.0,30.368494033813477
0.0,28.88713264465332
0.0,27.28369903564453
0.0,25.652406692504883
0.0,24.039093017578125
0.0,22.353544235229492
0.0,20.688060760498047
0.0,18.997106552124023
0.0,17.281661987304688
0.0,15.632195472717285
0.0,14.046170234680176
0.0,12.476387023925781
0.0,10.877452850341797
0.0,9.340015411376953
0.0,7.9064741134643555
0.0,6.5728325843811035
0.0,5.335245132446289
0.0,4.1900200843811035
0.0,3.13360595703125
0.0,2.207350254058838
0.0,1.451006531715393
0.0,0.8580436706542969
0.0,0.37741416692733765
0.0,0.04955720901489258
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.06217457726597786
0.0,0.3283607065677643
0.0,0.7185996174812317
0.0,1.317643165588379
0.0,2.0726969242095947
0.0,3.0672876834869385
0.0,4.247438907623291
0.0,5.561254024505615
0.0,7.00358772277832
0.0,8.524738311767578
0.0,10.076906204223633
0.0,11.658902168273926
0.0,13.26957893371582
0.0,14.90783405303955
0.0,16.48307991027832
0.0,17.997737884521484
0.0,19.45414161682129
0.0,20.809764862060547
0.0,22.023723602294922
0.0,23.14622688293457
0.0,24.1807918548584
0.0,25.13080406188965
0.0,25.9995174407959
0.0,26.745290756225586
0.0,27.417617797851562
0.0,28.0640869140625
0.0,28.730453491210938
0.0,29.281665802001953
0.0,29.722152709960938
0.0,30.190458297729492
0.0,30.73027801513672
0.0,31.24933624267578
0.0,31.70366668701172
0.0,32.095760345458984
0.0,32.47277069091797
0.0,32.88004684448242
0.0,33.31642150878906
0.0,33.78077697753906
0.0,34.31679916381836
0.0,34.83220672607422
0.0,35.32778549194336
0.0,35.8043098449707
0.0,36.3072624206543
0.0,36.790870666503906
0.0,37.30064392089844
0.0,37.74604415893555
0.0,38.12955856323242
0.0,38.49831771850586
0.0,38.85289764404297
0.0,39.1938362121582
0.0,39.43213653564453
0.0,39.571746826171875
0.0,39.616458892822266
0.0,39.659454345703125
0.0,39.566505432128906
0.0,39.47713088989258
0.0,39.301666259765625
0.0,39.04343032836914
0.0,38.79512405395508
0.0,38.51160430908203
0.0,38.28375244140625
0.0,38.06466293334961
0.0,37.76447677612305
0.0,37.475833892822266
0.0,37.19829177856445
0.0,36.93142318725586
0.0,36.67482376098633
0.0,36.24903869628906
0.0,35.75010299682617
0.0,35.09130859375
0.0,34.27880096435547
0.0,33.363250732421875
0.0,32.348628997802734
0.0,31.238740921020508
0.0,30.037250518798828
0.0,28.7476806640625
0.0,27.41818618774414
0.0,26.095064163208008
0.0,24.643779754638672
0.0,23.114023208618164
0.0,21.553577423095703
0.0,19.963624954223633
0.0,18.390060424804688
0.0,16.742727279663086
0.0,15.113988876342773
0.0,13.503135681152344
0.0,11.864710807800293
0.0,10.244539260864258
0.0,8.552393913269043
0.0,6.880568504333496
0.0,5.228280544281006
0.0,3.684305429458618
0.0,2.199713945388794
0.0,0.7722223401069641
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.8200768828392029
0.0,2.0418996810913086
0.0,3.3062522411346436
0.0,4.656266689300537
0.0,6.088644504547119
0.0,7.555457592010498
0.0,9.010619163513184
0.0,10.454575538635254
0.0,11.93251895904541
0.0,13.443144798278809
0.0,14.940434455871582
0.0,16.38013458251953
0.0,17.809226989746094
0.0,19.22811508178711
0.0,20.547670364379883
0.0,21.816471099853516
0.0,23.081235885620117
0.0,24.342119216918945
0.0,25.50974464416504
0.0,26.587697982788086
0.0,27.624189376831055
0.0,28.66558074951172
0.0,29.622156143188477
0.0,30.586702346801758
0.0,31.424623489379883
0.0,32.275081634521484
0.0,33.09282684326172
0.0,33.87912368774414
0.0,34.59041213989258
0.0,35.31910705566406
0.0,35.975013732910156
0.0,36.650455474853516
0.0,37.255157470703125
0.0,37.7470703125
0.0,38.22006607055664
0.0,38.540584564208984
0.0,38.80400848388672
0.0,39.01253890991211
0.0,39.12351989746094
0.0,39.31976318359375
0.0,39.46369171142578
0.0,39.60208511352539
0.0,39.60087203979492
0.0,39.68922424316406
0.0,39.818946838378906
0.0,39.85415267944336
0.0,39.84324264526367
0.0,39.8327522277832
0.0,39.77790069580078
0.0,39.72515869140625
0.0,39.67444610595703
0.0,39.5809211730957
0.0,39.44622802734375
0.0,39.27195358276367
0.0,39.1043815612793
0.0,38.89849090576172
0.0,38.655757904052734
0.0,38.37759780883789
0.0,38.02061080932617
0.0,37.632591247558594
0.0,37.304256439208984
0.0,36.94378662109375
0.0,36.59718322753906
0.0,36.26390838623047
0.0,35.89868927001953
0.0,35.50275421142578
0.0,35.07728958129883
0.0,34.489131927490234
0.0,33.83407211303711
0.0,33.20420837402344
0.0,32.50904083251953
0.0,31.70631980895996
0.0,30.800188064575195
0.0,29.839378356933594
0.0,28.736473083496094
0.0,27.586462020874023
0.0,26.346393585205078
0.0,25.06449317932129
0.0,23.742368698120117
0.0,22.381572723388672
0.0,20.98358917236328
0.0,19.505081176757812
0.0,17.904390335083008
0.0,16.275737762451172
0.0,14.620201110839844
0.0,12.983575820922852
0.0,11.409897804260254
0.0,9.896745681762695
0.0,8.397027969360352
0.0,6.999755382537842
0.0,5.656224250793457
0.0,4.3643670082092285
0.0,3.122196912765503
0.0,1.883039116859436
0.0,0.7363045811653137
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.6851120591163635
0.0,1.6883078813552856
0.0,2.6976828575134277
0.0,3.8025264739990234
0.0,4.954399108886719
0.0,6.1067328453063965
0.0,7.304272651672363
0.0,8.500516891479492
0.0,9.695515632629395
0.0,10.844552993774414
0.0,11.949396133422852
0.0,13.056509017944336
0.0,14.121041297912598
0.0,15.14462947845459
0.0,16.128849029541016
0.0,16.985685348510742
0.0,17.809568405151367
0.0,18.73604965209961
0.0,19.492610931396484
0.0,20.220073699951172
0.0,20.830028533935547
0.0,21.371761322021484
0.0,21.892658233642578
0.0,22.39352035522461
0.0,22.875118255615234
0.0,23.338193893432617
0.0,23.783456802368164
0.0,24.211597442626953
0.0,24.623268127441406
0.0,25.019107818603516
0.0,25.44448471069336
0.0,25.85350227355957
0.0,26.15726089477539
0.0,26.40457534790039
0.0,26.508089065551758
0.0,26.562856674194336
0.0,26.660282135009766
0.0,26.709196090698242
0.0,26.6219425201416
0.0,26.4932804107666
0.0,26.324804306030273
0.0,26.073280334472656
0.0,25.786672592163086
0.0,25.511085510253906
0.0,25.201335906982422
0.0,24.858736038208008
0.0,24.43978500366211
0.0,23.94742202758789
0.0,23.429235458374023
0.0,22.975738525390625
0.0,22.62921142578125
0.0,22.296010971069336
0.0,21.79657745361328
0.0,21.18206214904785
0.0,20.501657485961914
0.0,19.80265998840332
0.0,19.130544662475586
0.0,18.439517974853516
0.0,17.73030662536621
0.0,16.958845138549805
0.0,16.172290802001953
0.0,15.326465606689453
0.0,14.42364501953125
0.0,13.466021537780762
0.0,12.500470161437988
0.0,11.437764167785645
0.0,10.37116813659668
0.0,9.34559440612793
0.0,8.314702987670898
0.0,7.278697967529297
0.0,6.282538890838623
0.0,5.279933929443359
0.0,4.315890312194824
0.0,3.388925790786743
0.0,2.452850103378296
0.0,1.3737231492996216
0.0,0.29134130477905273
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.15171556174755096
0.0,1.3544808626174927
0.0,2.5557496547698975
0.0,3.8003387451171875
0.0,5.131350040435791
0.0,6.500695705413818
0.0,7.906897068023682
0.0,9.348541259765625
0.0,10.779500961303711
0.0,12.155424118041992
0.0,13.52319049835205
0.0,14.883110046386719
0.0,16.235488891601562
0.0,17.580615997314453
0.0,18.918771743774414
0.0,20.25022315979004
0.0,21.575227737426758
0.0,22.804508209228516
0.0,23.986507415771484
0.0,25.167810440063477
0.0,26.393199920654297
0.0,27.660987854003906
184.16587829589844,28.880014419555664
0.0,30.186445236206055
0.0,31.397865295410156
0.0,32.51792907714844
0.0,33.639678955078125
0.0,34.71828079223633
0.0,35.755401611328125
0.0,36.75263214111328
0.0,37.71150588989258
0.0,38.63349914550781
0.0,39.43050765991211
0.0,40.107330322265625
0.0,40.7133674621582
0.0,41.29608917236328
0.0,41.85640335083008
0.0,42.395164489746094
0.0,42.913204193115234
0.0,43.411319732666016
0.0,43.845516204833984
0.0,44.21824645996094
0.0,44.621402740478516
0.0,45.009056091308594
0.0,45.381797790527344
0.0,45.919254302978516
0.0,46.436038970947266
0.0,46.93294906616211
184.16580200195312,47.36598205566406
187.57603454589844,47.9614143371582
0.0,48.578704833984375
0.0,49.082733154296875
0.0,49.52260971069336
0.0,49.90080261230469
0.0,50.3092155456543
0.0,50.74668502807617
0.0,51.16732406616211
0.0,51.52702713012695
0.0,51.828128814697266
0.0,52.162410736083984
0.0,52.4390754699707
0.0,52.660335540771484
0.0,52.873085021972656
0.0,53.07765197753906
0.0,53.1848258972168
0.0,53.24311447143555
0.0,53.25440216064453
0.0,53.22048568725586
0.0,53.1878776550293
0.0,53.06699752807617
0.0,52.86124038696289
0.0,52.61863708496094
0.0,52.340599060058594
0.0,52.11801528930664
0.0,51.81446838378906
0.0,51.47783279418945
0.0,51.10938262939453
0.0,50.71034240722656
0.0,50.3266487121582
0.0,49.91294860839844
0.0,49.13267517089844
0.0,48.809661865234375
0.0,48.49907302856445
0.0,48.15566635131836
0.0,47.8702278137207
0.0,47.64052963256836
0.0,47.4196662902832
0.0,47.207298278808594
0.0,46.95833969116211
0.0,46.674190521240234
0.0,46.400970458984375
0.0,46.13825988769531
0.0,45.84088897705078
0.0,45.554954528808594
0.0,45.28002166748047
0.0,44.97089767456055
0.0,44.58413314819336
0.0,44.167484283447266
0.0,43.7668571472168
0.0,43.33687973022461
0.0,42.87867736816406
0.0,42.48286056518555
0.0,42.10226821899414
